Index,PubmedID,Condition,Study
175,31928219,Valvular heart disease,"Nasu T, Satoh M, Ohmomo H, Shiwa Y, Komaki S, Ono K, Shimizu A, Taguchi S, Takahashi Y, Osaki T, Morino Y, Sobue K, Sasaki M. Epigenome-Wide Association Study Identifies a Novel DNA Methylation in Patients With Severe Aortic Valve Stenosis. Circ Genom Precis Med. 2020 Feb;13(1):e002649. doi: 10.1161/CIRCGEN.119.002649. Epub 2020 Jan 12. PMID: 31928219."
176,36929416,Valvular heart disease,"Pinnaro CT, Beck CB, Major HJ, Darbro BW. CRELD1 variants are associated with bicuspid aortic valve in Turner syndrome. Hum Genet. 2023 Apr;142(4):523-530. doi: 10.1007/s00439-023-02538-0. Epub 2023 Mar 16. PMID: 36929416; PMCID: PMC10060348."
177,28444195,Valvular heart disease,"Pan S, Lai H, Shen Y, Breeze C, Beck S, Hong T, Wang C, Teschendorff AE. DNA methylome analysis reveals distinct epigenetic patterns of ascending aortic dissection and bicuspid aortic valve. Cardiovasc Res. 2017 May 1;113(6):692-704. doi: 10.1093/cvr/cvx050. PMID: 28444195."
178, 28623907,Valvular heart disease,"Shen K, Liu H, Jing R, Yi J, Zhou X. DNA methylation dysregulations in rheumatic heart valve disease. BMC Cardiovasc Disord. 2017 Jun 17;17(1):159. doi: 10.1186/s12872-017-0585-3. PMID: 28623907; PMCID: PMC5474061."
179,34793329,Valvular heart disease,"Li N, Zhu L, Zhu C, Zhou H, Zheng D, Xu G, Shi H, Gao J, Li AJ, Wang Z, Sun L, Li X, Shao G. BMPR2 promoter methylation and its expression in valvular heart disease complicated with pulmonary artery hypertension. Aging (Albany NY). 2021 Nov 18;13(22):24580-24604. doi: 10.18632/aging.203690. Epub 2021 Nov 18. PMID: 34793329; PMCID: PMC8660616."
180,31928219,Valvular heart disease,"Nasu T, Satoh M, Ohmomo H, Shiwa Y, Komaki S, Ono K, Shimizu A, Taguchi S, Takahashi Y, Osaki T, Morino Y, Sobue K, Sasaki M. Epigenome-Wide Association Study Identifies a Novel DNA Methylation in Patients With Severe Aortic Valve Stenosis. Circ Genom Precis Med. 2020 Feb;13(1):e002649. doi: 10.1161/CIRCGEN.119.002649. Epub 2020 Jan 12. PMID: 31928219."
181,34321094,Valvular heart disease,"Maredia A, Guzzardi D, Aleinati M, Iqbal F, Khaira A, Madhu A, Wang X, Barker AJ, McCarthy PM, Fedak PWM, Greenway SC. Aorta-specific DNA methylation patterns in cell-free DNA from patients with bicuspid aortic valve-associated aortopathy. Clin Epigenetics. 2021 Jul 28;13(1):147. doi: 10.1186/s13148-021-01137-y. PMID: 34321094; PMCID: PMC8320174."
182,29026447,Valvular heart disease,"Goev I, Zeljko M, ?uri? , Nikoli? I, Goev M, Iv?evi? S, Bei? D, Leg?evi? Z, Pai? F. Epigenome alterations in aortic valve stenosis and its related left ventricular hypertrophy. Clin Epigenetics. 2017 Oct 3;9:106. doi: 10.1186/s13148-017-0406-7. PMID: 29026447; PMCID: PMC5627415."
183, 28444195,Valvular heart disease,"Pan S, Lai H, Shen Y, Breeze C, Beck S, Hong T, Wang C, Teschendorff AE. DNA methylome analysis reveals distinct epigenetic patterns of ascending aortic dissection and bicuspid aortic valve. Cardiovasc Res. 2017 May 1;113(6):692-704. doi: 10.1093/cvr/cvx050. PMID: 28444195."
184,27152866,Valvular heart disease,"Radhakrishna U, Albayrak S, Alpay-Savasan Z, Zeb A, Turkoglu O, Sobolewski P, Bahado-Singh RO. Genome-Wide DNA Methylation Analysis and Epigenetic Variations Associated with Congenital Aortic Valve Stenosis (AVS). PLoS One. 2016 May 6;11(5):e0154010. doi: 10.1371/journal.pone.0154010. PMID: 27152866; PMCID: PMC4859473."
185,31020645,Valvular heart disease,"Zhou Y, Li J, Zhou K, Liao X, Zhou X, Shen K. The methylation of Notch1 promoter mediates the osteogenesis differentiation in human aortic valve interstitial cells through Wnt/?-catenin signaling. J Cell Physiol. 2019 Nov;234(11):20366-20376. doi: 10.1002/jcp.28638. Epub 2019 Apr 24. PMID: 31020645."
186,29426841,Valvular heart disease,"Björck HM, Du L, Pulignani S, Paloschi V, Lundströmer K, Kostina AS, Österholm C, Malashicheva A, Kostareva A, Evangelista A, Teixidó-Tura G, Maleki S, Franco-Cereceda A, Eriksson P; Mechanistic Interrogation of Bicuspid Aortic Valve associated Aortopathy (MIBAVA) Leducq Consortium. Altered DNA methylation indicates an oscillatory flow mediated epithelial-to-mesenchymal transition signature in ascending aorta of patients with bicuspid aortic valve. Sci Rep. 2018 Feb 9;8(1):2777. doi: 10.1038/s41598-018-20642-4. PMID: 29426841; PMCID: PMC5807320."
187,28410142,Valvular heart disease,"Sartorio CL, Lazzeroni D, Bertoli G, Camici PG. Theranostic biomarkers in hypertrophic cardiomyopathy: insights in a long road ahead. Front Biosci (Landmark Ed). 2017 Jun 1;22(10):1724-1749. doi: 10.2741/4568. PMID: 28410142."
188,29726894,Valvular heart disease,"Mkannez G, Gagné-Ouellet V, Jalloul Nsaibia M, Boulanger MC, Rosa M, Argaud D, Hadji F, Gaudreault N, Rhéaume G, Bouchard L, Bossé Y, Mathieu P. DNA methylation of a PLPP3 MIR transposon-based enhancer promotes an osteogenic programme in calcific aortic valve disease. Cardiovasc Res. 2018 Sep 1;114(11):1525-1535. doi: 10.1093/cvr/cvy111. PMID: 29726894; PMCID: PMC6106101."
189,36577841,Valvular heart disease,"Trangle SS, Rosenberg T, Parnas H, Levy G, Bar E, Marco A, Barak B. In individuals with Williams syndrome, dysregulation of methylation in non-coding regions of neuronal and oligodendrocyte DNA is associated with pathology and cortical development. Mol Psychiatry. 2023 Mar;28(3):1112-1127. doi: 10.1038/s41380-022-01921-z. Epub 2022 Dec 28. PMID: 36577841."
190,32705286,Valvular heart disease,"Huang Z, Li X, Qiu M, Chen J, Tian M, Han F, Ou Y, Liu X, Zhou C, Yuan H, Zhuang J, Chen J. Weighted gene co?expression network analysis identifies key genes from extracellular vesicles as potential prognostic biomarkers for congenital pulmonary stenosis. Mol Med Rep. 2020 Sep;22(3):2528-2536. doi: 10.3892/mmr.2020.11332. Epub 2020 Jul 10. PMID: 32705286."
191,33757590,Valvular heart disease,"Pei J, Schuldt M, Nagyova E, Gu Z, El Bouhaddani S, Yiangou L, Jansen M, Calis JJA, Dorsch LM, Blok CS, van den Dungen NAM, Lansu N, Boukens BJ, Efimov IR, Michels M, Verhaar MC, de Weger R, Vink A, van Steenbeek FG, Baas AF, Davis RP, Uh HW, Kuster DWD, Cheng C, Mokry M, van der Velden J, Asselbergs FW, Harakalova M. Multi-omics integration identifies key upstream regulators of pathomechanisms in hypertrophic cardiomyopathy due to truncating MYBPC3 mutations. Clin Epigenetics. 2021 Mar 23;13(1):61. doi: 10.1186/s13148-021-01043-3. PMID: 33757590; PMCID: PMC7989210."
192,18539302,Valvular heart disease,"Meurs KM, Mealey KL. Evaluation of the flanking nucleotide sequences of sarcomeric hypertrophic cardiomyopathy substitution mutations. Mutat Res. 2008 Jul 3;642(1-2):86-9. doi: 10.1016/j.mrfmmm.2008.04.005. Epub 2008 Apr 24. PMID: 18539302."
193,27651444,Smoking,"Joehanes R, Just AC, Marioni RE, Pilling LC, Reynolds LM, Mandaviya PR, Guan W, Xu T, Elks CE, Aslibekyan S, Moreno-Macias H, Smith JA, Brody JA, Dhingra R, Yousefi P, Pankow JS, Kunze S, Shah SH, McRae AF, Lohman K, Sha J, Absher DM, Ferrucci L, Zhao W, Demerath EW, Bressler J, Grove ML, Huan T, Liu C, Mendelson MM, Yao C, Kiel DP, Peters A, Wang-Sattler R, Visscher PM, Wray NR, Starr JM, Ding J, Rodriguez CJ, Wareham NJ, Irvin MR, Zhi D, Barrdahl M, Vineis P, Ambatipudi S, Uitterlinden AG, Hofman A, Schwartz J, Colicino E, Hou L, Vokonas PS, Hernandez DG, Singleton AB, Bandinelli S, Turner ST, Ware EB, Smith AK, Klengel T, Binder EB, Psaty BM, Taylor KD, Gharib SA, Swenson BR, Liang L, DeMeo DL, O'Connor GT, Herceg Z, Ressler KJ, Conneely KN, Sotoodehnia N, Kardia SL, Melzer D, Baccarelli AA, van Meurs JB, Romieu I, Arnett DK, Ong KK, Liu Y, Waldenberger M, Deary IJ, Fornage M, Levy D, London SJ. Epigenetic Signatures of Cigarette Smoking. Circ Cardiovasc Genet. 2016 Oct;9(5):436-447. doi: 10.1161/CIRCGENETICS.116.001506. Epub 2016 Sep 20. PMID: 27651444; PMCID: PMC5267325."
194,33752734,Smoking,"Yao C, Joehanes R, Wilson R, Tanaka T, Ferrucci L, Kretschmer A, Prokisch H, Schramm K, Gieger C, Peters A, Waldenberger M, Marzi C, Herder C, Levy D. Epigenome-wide association study of whole blood gene expression in Framingham Heart Study participants provides molecular insight into the potential role of CHRNA5 in cigarette smoking-related lung diseases. Clin Epigenetics. 2021 Mar 22;13(1):60. doi: 10.1186/s13148-021-01041-5. PMID: 33752734; PMCID: PMC7986283."
195,29740313,Smoking,"Mendelson MM, Johannes R, Liu C, Huan T, Yao C, Miao X, Murabito JM, Dupuis J, Levy D, Benjamin EJ, Lin H. Epigenome-Wide Association Study of Soluble Tumor Necrosis Factor Receptor 2 Levels in the Framingham Heart Study. Front Pharmacol. 2018 Apr 24;9:207. doi: 10.3389/fphar.2018.00207. PMID: 29740313; PMCID: PMC5928448."
196,17916250,Smoking,"Jaquish CE. The Framingham Heart Study, on its way to becoming the gold standard for Cardiovascular Genetic Epidemiology? BMC Med Genet. 2007 Oct 4;8:63. doi: 10.1186/1471-2350-8-63. PMID: 17916250; PMCID: PMC2151937."
197,32484362,Smoking,"Domingo-Relloso A, Riffo-Campos AL, Haack K, Rentero-Garrido P, Ladd-Acosta C, Fallin DM, Tang WY, Herreros-Martinez M, Gonzalez JR, Bozack AK, Cole SA, Navas-Acien A, Tellez-Plaza M. Cadmium, Smoking, and Human Blood DNA Methylation Profiles in Adults from the Strong Heart Study. Environ Health Perspect. 2020 Jun;128(6):67005. doi: 10.1289/EHP6345. Epub 2020 Jun 2. PMID: 32484362; PMCID: PMC7265996."
198,30915882,Smoking,"Barcelona V, Huang Y, Brown K, Liu J, Zhao W, Yu M, Kardia SLR, Smith JA, Taylor JY, Sun YV. Novel DNA methylation sites associated with cigarette smoking among African Americans. Epigenetics. 2019 Apr;14(4):383-391. doi: 10.1080/15592294.2019.1588683. Epub 2019 Mar 27. PMID: 30915882; PMCID: PMC6557550."
199, 26837704,Smoking,"Georgiadis P, Hebels DG, Valavanis I, Liampa I, Bergdahl IA, Johansson A, Palli D, Chadeau-Hyam M, Chatziioannou A, Jennen DG, Krauskopf J, Jetten MJ, Kleinjans JC, Vineis P, Kyrtopoulos SA; EnviroGenomarkers consortium. Omics for prediction of environmental health effects: Blood leukocyte-based cross-omic profiling reliably predicts diseases associated with tobacco smoking. Sci Rep. 2016 Feb 3;6:20544. doi: 10.1038/srep20544. PMID: 26837704; PMCID: PMC4738297."
200,35605674,Smoking,"Lee EY, Akhtari F, House JS, Simpson RJ Jr, Schmitt CP, Fargo DC, Schurman SH, Hall JE, Motsinger-Reif AA. Questionnaire-based exposome-wide association studies (ExWAS) reveal expected and novel risk factors associated with cardiovascular outcomes in the Personalized Environment and Genes Study. Environ Res. 2022 Sep;212(Pt D):113463. doi: 10.1016/j.envres.2022.113463. Epub 2022 May 20. PMID: 35605674."
201, 33883000,Myocardial infraction,"Fernández-Sanlés A, Sayols-Baixeras S, Subirana I, Sentí M, Pérez-Fernández S, de Castro Moura M, Esteller M, Marrugat J, Elosua R. DNA methylation biomarkers of myocardial infarction and cardiovascular disease. Clin Epigenetics. 2021 Apr 21;13(1):86. doi: 10.1186/s13148-021-01078-6. PMID: 33883000; PMCID: PMC8061080."
202,30354327,smoking,"Siemelink MA, van der Laan SW, Haitjema S, van Koeverden ID, Schaap J, Wesseling M, de Jager SCA, Mokry M, van Iterson M, Dekkers KF, Luijk R, Foroughi Asl H, Michoel T, Björkegren JLM, Aavik E, Ylä-Herttuala S, de Borst GJ, Asselbergs FW, El Azzouzi H, den Ruijter HM, Heijmans BT, Pasterkamp G. Smoking is Associated to DNA Methylation in Atherosclerotic Carotid Lesions. Circ Genom Precis Med. 2018 Sep;11(9):e002030. doi: 10.1161/CIRCGEN.117.002030. PMID: 30354327."
203,34515027,CHD,"Si J, Yang S, Sun D, Yu C, Guo Y, Lin Y, Millwood IY, Walters RG, Yang L, Chen Y, Du H, Hua Y, Liu J, Chen J, Chen Z, Chen W, Lv J, Liang L, Li L; China Kadoorie Biobank Collaborative Group. Epigenome-wide analysis of DNA methylation and coronary heart disease: a nested case-control study. Elife. 2021 Sep 13;10:e68671. doi: 10.7554/eLife.68671. PMID: 34515027; PMCID: PMC8585480."
204,27843151,Alcohol,"Liu C, Marioni RE, Hedman ÅK, Pfeiffer L, Tsai PC, Reynolds LM, Just AC, Duan Q, Boer CG, Tanaka T, Elks CE, Aslibekyan S, Brody JA, Kühnel B, Herder C, Almli LM, Zhi D, Wang Y, Huan T, Yao C, Mendelson MM, Joehanes R, Liang L, Love SA, Guan W, Shah S, McRae AF, Kretschmer A, Prokisch H, Strauch K, Peters A, Visscher PM, Wray NR, Guo X, Wiggins KL, Smith AK, Binder EB, Ressler KJ, Irvin MR, Absher DM, Hernandez D, Ferrucci L, Bandinelli S, Lohman K, Ding J, Trevisi L, Gustafsson S, Sandling JH, Stolk L, Uitterlinden AG, Yet I, Castillo-Fernandez JE, Spector TD, Schwartz JD, Vokonas P, Lind L, Li Y, Fornage M, Arnett DK, Wareham NJ, Sotoodehnia N, Ong KK, van Meurs JBJ, Conneely KN, Baccarelli AA, Deary IJ, Bell JT, North KE, Liu Y, Waldenberger M, London SJ, Ingelsson E, Levy D. A DNA methylation biomarker of alcohol consumption. Mol Psychiatry. 2018 Feb;23(2):422-433. doi: 10.1038/mp.2016.192. Epub 2016 Nov 15. PMID: 27843151; PMCID: PMC5575985."
205,23341106,Dilated cardiomyopathies (DCM),"Haas J, Frese KS, Park YJ, Keller A, Vogel B, Lindroth AM, Weichenhan D, Franke J, Fischer S, Bauer A, Marquart S, Sedaghat-Hamedani F, Kayvanpour E, Köhler D, Wolf NM, Hassel S, Nietsch R, Wieland T, Ehlermann P, Schultz JH, Dösch A, Mereles D, Hardt S, Backs J, Hoheisel JD, Plass C, Katus HA, Meder B. Alterations in cardiac DNA methylation in human dilated cardiomyopathy. EMBO Mol Med. 2013 Mar;5(3):413-29. doi: 10.1002/emmm.201201553. Epub 2013 Jan 22. PMID: 23341106; PMCID: PMC3598081."
206,27417303,Dilated cardiomyopathy (DCM),"Jo BS, Koh IU, Bae JB, Yu HY, Jeon ES, Lee HY, Kim JJ, Choi M, Choi SS. Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy. Genomics. 2016 Aug;108(2):84-92. doi: 10.1016/j.ygeno.2016.07.001. Epub 2016 Jul 12. PMID: 27417303."
207,27496870,Congenital heart diseases (CHDs),"Grunert M, Dorn C, Cui H, Dunkel I, Schulz K, Schoenhals S, Sun W, Berger F, Chen W, Sperling SR. Comparative DNA methylation and gene expression analysis identifies novel genes for structural congenital heart diseases. Cardiovasc Res. 2016 Oct;112(1):464-77. doi: 10.1093/cvr/cvw195. Epub 2016 Aug 5. PMID: 27496870."
208,28485796,Cardiomyopathy and heart failure,"Li B, Feng ZH, Sun H, Zhao ZH, Yang SB, Yang P. The blood genome-wide DNA methylation analysis reveals novel epigenetic changes in human heart failure. Eur Rev Med Pharmacol Sci. 2017 Apr;21(8):1828-1836. PMID: 28485796."
209,28838933,Cardiomyopathy,"Meder B, Haas J, Sedaghat-Hamedani F, Kayvanpour E, Frese K, Lai A, Nietsch R, Scheiner C, Mester S, Bordalo DM, Amr A, Dietrich C, Pils D, Siede D, Hund H, Bauer A, Holzer DB, Ruhparwar A, Mueller-Hennessen M, Weichenhan D, Plass C, Weis T, Backs J, Wuerstle M, Keller A, Katus HA, Posch AE. Epigenome-Wide Association Study Identifies Cardiac Gene Patterning and a Novel Class of Biomarkers for Heart Failure. Circulation. 2017 Oct 17;136(16):1528-1544. doi: 10.1161/CIRCULATIONAHA.117.027355. Epub 2017 Aug 24. PMID: 28838933."
210,30089854,Heart failure (HF),"Pepin ME, Ha CM, Crossman DK, Litovsky SH, Varambally S, Barchue JP, Pamboukian SV, Diakos NA, Drakos SG, Pogwizd SM, Wende AR. Genome-wide DNA methylation encodes cardiac transcriptional reprogramming in human ischemic heart failure. Lab Invest. 2019 Mar;99(3):371-386. doi: 10.1038/s41374-018-0104-x. Epub 2018 Aug 8. PMID: 30089854; PMCID: PMC6515060."
211,30798618,Heart failure (HF),"Glezeva N, Moran B, Collier P, Moravec CS, Phelan D, Donnellan E, Russell-Hallinan A, O'Connor DP, Gallagher WM, Gallagher J, McDonald K, Ledwidge M, Baugh J, Das S, Watson CJ. Targeted DNA Methylation Profiling of Human Cardiac Tissue Reveals Novel Epigenetic Traits and Gene Deregulation Across Different Heart Failure Patient Subtypes. Circ Heart Fail. 2019 Mar;12(3):e005765. doi: 10.1161/CIRCHEARTFAILURE.118.005765. PMID: 30798618."
212,31026178,Dilated cardiomyopathy (DCM),"Tabish AM, Arif M, Song T, Elbeck Z, Becker RC, Knöll R, Sadayappan S. Association of intronic DNA methylation and hydroxymethylation alterations in the epigenetic etiology of dilated cardiomyopathy. Am J Physiol Heart Circ Physiol. 2019 Jul 1;317(1):H168-H180. doi: 10.1152/ajpheart.00758.2018. Epub 2019 Apr 26. PMID: 31026178; PMCID: PMC6692731."
213,31298559,Heart failure (HF),"Pepin ME, Drakos S, Ha CM, Tristani-Firouzi M, Selzman CH, Fang JC, Wende AR, Wever-Pinzon O. DNA methylation reprograms cardiac metabolic gene expression in end-stage human heart failure. Am J Physiol Heart Circ Physiol. 2019 Oct 1;317(4):H674-H684. doi: 10.1152/ajpheart.00016.2019. Epub 2019 Jul 12. PMID: 31298559; PMCID: PMC6843013."
214,32429430,Cardiomyopathy,"Gi WT, Haas J, Sedaghat-Hamedani F, Kayvanpour E, Tappu R, Lehmann DH, Shirvani Samani O, Wisdom M, Keller A, Katus HA, Meder B. Epigenetic Regulation of Alternative mRNA Splicing in Dilated Cardiomyopathy. J Clin Med. 2020 May 16;9(5):1499. doi: 10.3390/jcm9051499. PMID: 32429430; PMCID: PMC7291244."
215,32529949,Heart failure ,"Tan WLW, Anene-Nzelu CG, Wong E, Lee CJM, Tan HS, Tang SJ, Perrin A, Wu KX, Zheng W, Ashburn RJ, Pan B, Lee MY, Autio MI, Morley MP, Tam WL, Cheung C, Margulies KB, Chen L, Cappola TP, Loh M, Chambers J, Prabhakar S, Foo RSY; CHARGE-Heart Failure Working Group, CHARGE-EchoGen Consortium. Epigenomes of Human Hearts Reveal New Genetic Variants Relevant for Cardiac Disease and Phenotype. Circ Res. 2020 Aug 28;127(6):761-777. doi: 10.1161/CIRCRESAHA.120.317254. Epub 2020 Jun 12. PMID: 32529949."
216,34714828,Cardiomyopathy,"Casares-Marfil D, Kerick M, Andrés-León E, Bosch-Nicolau P, Molina I; Chagas Genetics CYTED Network; Martin J, Acosta-Herrera M. GWAS loci associated with Chagas cardiomyopathy influences DNA methylation levels. PLoS Negl Trop Dis. 2021 Oct 29;15(10):e0009874. doi: 10.1371/journal.pntd.0009874. PMID: 34714828; PMCID: PMC8580254."
217,36499607,Hypertrophic cardiomyopathy (HCM),"Kiselev I, Kozin M, Baulina N, Pisklova M, Danilova L, Zotov A, Chumakova O, Zateyshchikov D, Favorova O. Novel Genes Involved in Hypertrophic Cardiomyopathy: Data of Transcriptome and Methylome Profiling. Int J Mol Sci. 2022 Dec 3;23(23):15280. doi: 10.3390/ijms232315280. PMID: 36499607; PMCID: PMC9739701."
218,37005704,Hypertrophic cardiomyopathy (HCM),"Li X, Fan H, Song X, Song B, Liu W, Dong R, Zhang H, Guo S, Liang H, Schrodi SJ, Fu X, Kaushal S, Ren Y, Zhang D. DNA methylome and transcriptome profiling reveal key electrophysiology and immune dysregulation in hypertrophic cardiomyopathy. Epigenetics. 2023 Dec;18(1):2195307. doi: 10.1080/15592294.2023.2195307. PMID: 37005704; PMCID: PMC10072074."
219,37346398,Cardiomyopathy?induced heart failure,"Zhou L, Peng F, Li J, Gong H. Exploring novel biomarkers in dilated cardiomyopathy?induced heart failure by integrated analysis and in vitroexperiments. Exp Ther Med. 2023 May 16;26(1):325. doi: 10.3892/etm.2023.12024. PMID: 37346398; PMCID: PMC10280324."
220,37542143,Anthracycline-induced cardiomyopathy,"Singh P, Zhou L, Shah DA, Cejas RB, Crossman DK, Jouni M, Magdy T, Wang X, Sharafeldin N, Hageman L, McKenna DE, Horvath S, Armenian SH, Balis FM, Hawkins DS, Keller FG, Hudson MM, Neglia JP, Ritchey AK, Ginsberg JP, Landier W, Burridge PW, Bhatia S. Identification of novel hypermethylated or hypomethylated CpG sites and genes associated with anthracycline-induced cardiomyopathy. Sci Rep. 2023 Aug 4;13(1):12683. doi: 10.1038/s41598-023-39357-2. PMID: 37542143; PMCID: PMC10403495."
221,28127622,Gestational diabetes mellitus (GDM),"Chen P, Piaggi P, Traurig M, Bogardus C, Knowler WC, Baier LJ, Hanson RL. Differential methylation of genes in individuals exposed to maternal diabetes in utero. Diabetologia. 2017 Apr;60(4):645-655. doi: 10.1007/s00125-016-4203-1. Epub 2017 Jan 26. PMID: 28127622; PMCID: PMC7194355."
222,31601636,Gestational diabetes mellitus (GDM),"Howe CG, Cox B, Fore R, Jungius J, Kvist T, Lent S, Miles HE, Salas LA, Rifas-Shiman S, Starling AP, Yousefi P, Ladd-Acosta C, Baccarelli A, Binder EB, Chatzi VL, Czamara D, Dabelea D, DeMeo DL, Ghantous A, Herceg Z, Kajantie E, Lahti JMT, Lawlor DA, Litonjua A, Nawrot TS, Nohr EA, Oken E, Pizzi C, Plusquin M, Räikkönen K, Relton CL, Sharp GC, Sørensen TIA, Sunyer J, Vrijheid M, Zhang W, Hivert MF, Breton CV. Maternal Gestational Diabetes Mellitus and Newborn DNA Methylation: Findings From the Pregnancy and Childhood Epigenetics Consortium. Diabetes Care. 2020 Jan;43(1):98-105. doi: 10.2337/dc19-0524. Epub 2019 Oct 10. PMID: 31601636; PMCID: PMC6925578."
223,30185669,Gestational diabetes mellitus (GDM),"Hjort L, Martino D, Grunnet LG, Naeem H, Maksimovic J, Olsson AH, Zhang C, Ling C, Olsen SF, Saffery R, Vaag AA. Gestational diabetes and maternal obesity are associated with epigenome-wide methylation changes in children. JCI Insight. 2018 Sep 6;3(17):e122572. doi: 10.1172/jci.insight.122572. PMID: 30185669; PMCID: PMC6171795."
224,29596946,Gestational diabetes mellitus (GDM),"Weng X, Liu F, Zhang H, Kan M, Wang T, Dong M, Liu Y. Genome-wide DNA methylation profiling in infants born to gestational diabetes mellitus. Diabetes Res Clin Pract. 2018 Aug;142:10-18. doi: 10.1016/j.diabres.2018.03.016. Epub 2018 Mar 26. PMID: 29596946."
225,28360945,Gestational diabetes mellitus (GDM),"Haertle L, El Hajj N, Dittrich M, Müller T, Nanda I, Lehnen H, Haaf T. Epigenetic signatures of gestational diabetes mellitus on cord blood methylation. Clin Epigenetics. 2017 Mar 27;9:28. doi: 10.1186/s13148-017-0329-3. PMID: 28360945; PMCID: PMC5368916."
226,26782299,T1DM,"Elboudwarej E, Cole M, Briggs FB, Fouts A, Fain PR, Quach H, Quach D, Sinclair E, Criswell LA, Lane JA, Steck AK, Barcellos LF, Noble JA. Hypomethylation within gene promoter regions and type 1 diabetes in discordant monozygotic twins. J Autoimmun. 2016 Apr;68:23-9. doi: 10.1016/j.jaut.2015.12.003. Epub 2016 Jan 9. PMID: 26782299; PMCID: PMC4792657."
227,24210274,T1DM,"Stefan M, Zhang W, Concepcion E, Yi Z, Tomer Y. DNA methylation profiles in type 1 diabetes twins point to strong epigenetic effects on etiology. J Autoimmun. 2014 May;50:33-7. doi: 10.1016/j.jaut.2013.10.001. Epub 2013 Nov 7. PMID: 24210274; PMCID: PMC3995844."
228,21980303,T1DM,"Rakyan VK, Beyan H, Down TA, Hawa MI, Maslau S, Aden D, Daunay A, Busato F, Mein CA, Manfras B, Dias KR, Bell CG, Tost J, Boehm BO, Beck S, Leslie RD. Identification of type 1 diabetes-associated DNA methylation variable positions that precede disease diagnosis. PLoS Genet. 2011 Sep;7(9):e1002300. doi: 10.1371/journal.pgen.1002300. Epub 2011 Sep 29. PMID: 21980303; PMCID: PMC3183089."
229,27898055,T1DM,"Paul DS, Teschendorff AE, Dang MA, Lowe R, Hawa MI, Ecker S, Beyan H, Cunningham S, Fouts AR, Ramelius A, Burden F, Farrow S, Rowlston S, Rehnstrom K, Frontini M, Downes K, Busche S, Cheung WA, Ge B, Simon MM, Bujold D, Kwan T, Bourque G, Datta A, Lowy E, Clarke L, Flicek P, Libertini E, Heath S, Gut M, Gut IG, Ouwehand WH, Pastinen T, Soranzo N, Hofer SE, Karges B, Meissner T, Boehm BO, Cilio C, Elding Larsson H, Lernmark Å, Steck AK, Rakyan VK, Beck S, Leslie RD. Increased DNA methylation variability in type 1 diabetes across three immune effector cell types. Nat Commun. 2016 Nov 29;7:13555. doi: 10.1038/ncomms13555. PMID: 27898055; PMCID: PMC5141286."
230,32111940,T1DM,"Johnson RK, Vanderlinden LA, Dong F, Carry PM, Seifert J, Waugh K, Shorrosh H, Fingerlin T, Frohnert BI, Yang IV, Kechris K, Rewers M, Norris JM. Longitudinal DNA methylation differences precede type 1 diabetes. Sci Rep. 2020 Feb 28;10(1):3721. doi: 10.1038/s41598-020-60758-0. PMID: 32111940; PMCID: PMC7048736."
231,26248552,T1DM,"Agardh E, Lundstig A, Perfilyev A, Volkov P, Freiburghaus T, Lindholm E, Rönn T, Agardh CD, Ling C. Genome-wide analysis of DNA methylation in subjects with type 1 diabetes identifies epigenetic modifications associated with proliferative diabetic retinopathy. BMC Med. 2015 Aug 6;13:182. doi: 10.1186/s12916-015-0421-5. PMID: 26248552; PMCID: PMC4527111."
232,37533055,T1DM,"Miller RG, Mychaleckyj JC, Onengut-Gumuscu S, Feingold E, Orchard TJ, Costacou T. DNA methylation and 28-year cardiovascular disease risk in type 1 diabetes: the Epidemiology of Diabetes Complications (EDC) cohort study. Clin Epigenetics. 2023 Aug 2;15(1):122. doi: 10.1186/s13148-023-01539-0. PMID: 37533055; PMCID: PMC10394855."
233,36138412,T1DM,"Knorr S, Skakkebæk A, Just J, Johannsen EB, Trolle C, Vang S, Lohse Z, Bytoft B, Damm P, Højlund K, Jensen DM, Gravholt CH. Epigenetic and transcriptomic alterations in offspring born to women with type 1 diabetes (the EPICOM study). BMC Med. 2022 Sep 23;20(1):338. doi: 10.1186/s12916-022-02514-x. PMID: 36138412; PMCID: PMC9503228."
234,32493412,T2DM,"Li T, Xu Y, Shi Y, Chen J, Lin S, Zhu J, Xu X, Lu L, Zou H. Genome-wide analysis of DNA methylation identifies S100A13 as an epigenetic biomarker in individuals with chronic (? 30?years) type 2 diabetes without diabetic retinopathy. Clin Epigenetics. 2020 Jun 3;12(1):77. doi: 10.1186/s13148-020-00871-z. PMID: 32493412; PMCID: PMC7268721."
235,22293752,T2DM,"Volkmar M, Dedeurwaerder S, Cunha DA, Ndlovu MN, Defrance M, Deplus R, Calonne E, Volkmar U, Igoillo-Esteve M, Naamane N, Del Guerra S, Masini M, Bugliani M, Marchetti P, Cnop M, Eizirik DL, Fuks F. DNA methylation profiling identifies epigenetic dysregulation in pancreatic islets from type 2 diabetic patients. EMBO J. 2012 Mar 21;31(6):1405-26. doi: 10.1038/emboj.2011.503. Epub 2012 Jan 31. PMID: 22293752; PMCID: PMC3321176."
